,Post
86,"Thrilled to receive such positive feedback from TRL KROSAKI REFRACTORIES LIMITED, our valued client! 🎊Our SOC services strive to provide top-notch security solutions, and we're proud to have been serving TRL Krosaki for the past two years. We value our partnership with TRL Krosaki and are delighted to hear that our efforts have been recognized by Mr. Kumar Heramba Narayan Naik, Associate Vice President (ICT) & CIO, CISO at TRL Krosaki.TRL KROSAKI REFRACTORIES LIMITED is the leading Refractories Manufacturing Company in India with Krosaki as the 4th largest refractories manufacturer in the world.It manufactures a wide range of products like Basic, Dolomite, High Alumina, Monolithics, Silica etc. And provides technical services to its customers in the form of Refractories Management Services, Refractories Engineering Services and Technical Support Services.Thank you for trusting us with your security needs and we look forward to continuing to provide you with the best possible service.Click the link to know more about our Managed Security Services- https://lnkd.in/gfvBuaPi#SOCservices #cybersecurity #grateful #clientfeedback #mssp #soc"
87,"The cardinal sin of senior management in multi-product companies: Extract-stage best practices, process, and goal-setting imposed on Explore-stage products.(very important to understand Kent Beck’s 3X framework - link in the comments)"
88,"“There are no limitations on what you can do and what industry is for you. Go after it, do your research, talk with individuals who are in that field, get as much knowledge as you can. I always like to tell my mentees, what’s on your heart you have a right to at least try to fulfill that.” Ida Rosser, an Amazon Delivery Service Partner owner, started her own business last June, partnering with our facility in Ashland, Missouri, the first in the middle of the state. In just seven months, her business grew from 10 employees to now more than 100 good jobs she has created for the local community. Learn more about Ida's amazing career journey and the advice she has for other entrepreneurs. https://lnkd.in/exmQ_9pA"
89,"Popped on my Microsoft #Give shirt today to support one of my favourite charities - You Matter  - who set up/style homes for DV survivors. For many survivors they don’t have more than what they can grab at the time, so we make it cosy and inviting. Microsoft matched my time with a $$ donation. How cool!!When I got back home I then went through all my donations this FY and scored Kirsti Abbott and Cat Lancaster  matching donations for their swim and squat challenges for ReachOut Australia and National Breast Cancer Foundation. PLUS I had all my monthly donations for Australia for UNHCR matched.❤️ I love being a Microsoftie ❤️To all my Microsoft colleagues - go through your donation receipts and see how much you can get matched!!! #microsoft #australia #Volunteering #Donating #give #Giving #DonationMatching #MicrosoftLife"
90,We are Hiring - Quality Manager (Mechanical)https://lnkd.in/djs7MfCd #hiring #quality #mechanical #Quality incidents #Quality Management System (QMS) #quality management
91,"This week’s INTERNATIONAL TOP OPPS – Human Resources Specialist (CZ) https://vz.to/3ZbYa1s, Account Based Marketing Manager (Germany) https://bit.ly/3J6EO8w and DevOps Engineer (Australia) https://vz.to/3ZfxGfE – Today’s your day, apply now. #vzcareers"
92,"HPE hat die Übernahme der Firma Athonet bekannt gegeben, die mobile Kernnetze für Unternehmen und Netzbetreiber bereitstellt. Damit verbessert Hewlett Packard Enterprise seine Position in einem Markt, der nach Prognosen von IDC bis 2026 auf mehr als 1,6 Milliarden Dollar anwachsen wird.🔗 Alle Details können Sie in der Pressemitteilung nachlesen. 👇 #Private5G #5G"
93,"We get it. Hitting your environmental, social, and governance (ESG) goals can be intimidating—especially when you don't know where to begin. #GoogleCloud is here to help. Read this article for 6️⃣ things business leaders can do to reach ambitious ESG goals ↓ #CIOpartner"
94,"🗼Um das eigene Private-5G-Angebot auszubauen, hat #HPE den italienischen Hersteller von privater #Mobilfunk-Technologie Athonet übernommen. 📱 Damit erweitert Hewlett Packard Enterprise sein 5G-Portfolio. Dazu gehört #Private5G-Equipment, das in Arubas #WiFi-Lösungen integriert ist, um Kunden so die Option zu bieten, die je nach Anforderung am besten geeignete #Technologie zu nutzen. Dieser Service wird über #HPEGreenLake zur Verfügung gestellt.Aruba, a Hewlett Packard Enterprise company #5G"
95,"Despite today's macroeconomic challenges, the demand for investing in and growing your people remains unchanged. Learn valuable tips from our very own Diane K. Adams and more inspiring leaders at #Transform2023.🔗 http://ms.spr.ly/60495qnh7"
96,"Internships are an opportunity to explore different industries, discover passions, learn and grow. They allow individuals to build their professional skills and networks, giving our careers a great headstart.After an enriching six-month learning experience at Glance, I am thrilled to announce that I recently joined GoKwik  as a Software Development Intern. Now, at GoKwik I'm working with an incredibly talented and supportive team on some truly exciting projects. The company culture is amazing, and I feel incredibly lucky to be a part of such an innovative and dynamic company.I am immensely grateful to Yachika Chugh for smooth onboarding process. I look forward to sharing my experiences with you as I continue to grow in my role at GoKwik. #softwaredevelopment #intern #experience #learning #culture"
97,"Change-makers. Mentors. Disruptors. From cybersecurity to retail, this #WomensHistoryMonth we’re celebrating the strong network of Verizon women who inspire us to #EmbraceEquity every day. 👩‍🎓 👩‍🔧 👩‍💻 Learn about our empowering culture: https://vz.to/3IDgmKr"
98,"What excites Chelsee Van Geem, Associate Director of Enterprise Sales? For starters, partnering with the world’s leading companies to talk tech and create the experiences of tomorrow. She loves having a seat at the table for conversations about making the world a better place through innovation. Ready to take your place? https://vz.to/41Ip0jm #FacesOfVerizonBusiness #vzcareers"
99,For all the budding XR family!! Checkout this coolest guide by Dinesh PunniFound it amazing 🤩
100,"Join us as we celebrate the contributions of women leaders shaping the future of #infrastructure and technology in India. Hear as they share their perspectives and discuss future growth opportunities for women in the #AEC sector.Register to attend the Women in Infrastructure & Technology Conference at the Jio World Convention Centre in Mumbai, India on March 3, 2023. ➡️: https://bit.ly/3KpvDRz#Mumbai #India #womenEngineers #technology"
101,"""NASSCOM is the bridge between the industry, the government, the partners, and the broader ecosystem"" - Krishnan Ramanujam, NASSCOM Chairman and President, Enterprise Growth Group, TCS, in conversation with Kritika Saxena, Head, Corporate Communications, TCS at the NASSCOM Technology and Leadership Forum 2023. #NTLF2023 #NASSCOM_TLF nasscom"
102,"Product managers will literally spend their entire careers debating about:• whether to put dates on roadmaps• whether to use user or job stories• differences between KPI & OKR• differences between mission and vision• differences between PRD, spec, and product brief• which framework is best at solving imaginary problems...instead of talking to users and doing the actual work 🤷(In case not obvious: this is a PM self-burn.) #productmanagement #productmanager"
103,"I would like to wish all the amazing women out there, a Happy International Women’s Day! Today, is an opportunity to celebrate the incredible women around us - our mothers, wives, sisters, daughters, friends, and colleagues at work, who each day go above and beyond to navigate challenges and make a difference to the world around them. As a woman in tech, it fills me with such pride to see the innumerable women who are pushing the boundaries on engineering excellence, innovation, and leadership to shape the industry. While we have come a long way in bridging the gender equity gap in the tech sector, there is still so much more to be done.   I want to take a moment to express my gratitude to my family, managers, mentors, sponsors, fellow colleagues for their allyship and to the inclusive environment at Microsoft that helped me make my own choices and bring my authentic self to work. At Microsoft, we have embraced innovation that puts people at the center and to ensure that inherent biases do not creep into our products. Each of us has an opportunity to be aware of our systemic privileges and ask ourselves who is around the table, and more importantly who is not.  Sharing my favorite quote from Katy Perry that says, “I’m every woman. It takes a village to make me who I am.”  As we celebrate Women’s history month, we want to bring to you, inspirational stories of Lead, Inspire, Grow, Help, and Thrive #betheLIGHT campaign each week. Sharing our first story on: Lead at Microsoft #Lead #BetheLIGHT #WomeninTech #WomenHistoryMonth #IWD2023 #MicrosoftCloudIDC #MicrosoftLife Arun Kishan Erin Chapple (Bourke-Dunphy) Girish Bablani Rajiv Kumar Anant Maheshwari Ashish Babbar Ashish Shah Asim Mitra Aparna Kondaboina Daryl Pinto M S Ganesh Hari Narayan Meher Afroz Sundeep Kunchala Vijay Mamtani Vijay Rajagopalan Vishwa Kumbalimutt Aloka Mitra Deepak Menon Deepak Pratinidhi Rajkumar Mohanram Roshni Chattopadhyay Sundar Srinivasan Anand Gupta Aneesh Mehta Oindrila Chauhan Ira Gupta Dr. Rohini Srivathsa Meenakshi Arun Subramanian Jyothirmayi Anugu Prema Patri Debu Barve Shweta Gupta Srividya Kotra Manu Aery Sireesha Vemparala Neha Gupta Anu Raghavan Ankita Sanghvi Vandana Shah Moumita (Moon) Basu"
104,"Our ‘Breast Cancer Screening Device’ won 2 prizes at the Hollomon Health Innovation Challenge !!I’m glad to let you know that my team ""Fight for 98"" consisting of Thakur Alabhya Singh- Masters in Technology Innovation student, Nancy- Senior studying Molecular Biology, and Rishabh G. - Masters in Electrical Engineering student and I won the 'IntuitiveX Best Idea for Medical Device Award' of $2500 and 'Connie Bourassa-Shaw Spark Award' of $1000 for a breast cancer self-screening device at the Hollomon Health Innovation Challenge organized by Buerk Center for Entrepreneurship and University of Washington - Michael G. Foster School of Business last Thursday (03/03/2023) . We previously received $2000 prototype funding from the Buerk Center for Entrepreneurship as well. The Hollomon Health Innovation Challenge is an exciting extracurricular competition that gives students the opportunity to come up with meaningful solutions to big problems the world faces today related to health. The competition is open to undergrads and grad students at accredited colleges and universities across the Cascadia Corridor – Washington, Oregon, Idaho, and British Columbia, as well as Alaska.The prototype uses a custom-built 3x3 sensor mat coupled with an accelerometer connected to an Adafruit ESP32 feather that maps the readings of the sensor matrix to a TFT screen and uploads the data to the cloud. This data can be sent to an app that prompts the user to move the device across the breast and map the cancerous lumps, while an ML model takes care of the localization and the noise in the data.I specially thank – Sreejith S for the help during the event ,Yana Sosnovskaya for sharing her PhD work with ultrasound technologies and Carly Taylor& Kyle Boerstler, PhD for helping me pull off this project by allowing flexibility for my internship work at Activision. I also thank University of Washington College of Engineering and University of Washington, Department of Electrical & Computer Engineering for their support. I am glad that I got to work on such a ubiquitous issue that affects so many people's lives. I see potential for impact in this area and would continue to work on this. #breastcancer #machinelearning #hic #opentowork"
105,"Posting this totally not-brand-content from our new Sprinklr advocacy site. This is exactly how advocacy platforms SHOULD work. Being able to draft and schedule original thought leadership and personal brand content.....with the option to also utilize and edit brand content for personal use as well. How do I know it's working? 👉🚨We've exceeded our first goal of 100K external impressions in THREE DAYS🚨And that is without mindlessly pressing the share button.From the moment we concluded our 3 international training sessions about developing personal brand on Thursday, it was clear that this employee body was ready to rise to this challenge. So incredibly proud of our advocates for their enthusiasm and effort, and can't wait to see what the rest of this journey looks like! #PersonalBrand #EmployeeAdvocacy #ThoughtLeadership"
106,Excited to announce that I got voted to be a committee member of Delhi Alumni Association 2.0 of Teach For India  for the next two years.Thanks for pouring in love! Here to serve.
107,"Well, today is the day! After a few months of maternity leave, I am excited to be back at Google. I'm grateful to be part of a company that allowed me the opportunity to spend this quality time with my family and adorable ""Boogler"" (baby Googler).While I know the transition will be challenging mentally and emotionally, I look forward to working on some amazing projects with our customers. I want to be a role model to other working parents to show that it's possible to have a successful career and a family, and balance work and home life.I'm beyond thankful for the support of my family, friends and of course my incredible colleagues and leaders here at Google. I could not have done it without them! #Google #Maternityleave #workingmoms"
108,"As Black History Month comes to an end, KLA Foundation is proud to have sponsored the African Diaspora Network Accelerating Black Leadership and Entrepreneurship (ABLE) Pitch Day and Graduation at Santa Clara University. At the event, twelve aspiring black entrepreneurs pitched their impact-oriented ideas to venture capitalists, angel and impact investors, philanthropists, foundations and financial institutions.As we reflect on the significance of Black History Month, let's continue to celebrate the rich and diverse cultures, histories, and contributions of the Black community every day.#KLAFoundation"
109,"Just wanted to put out my thoughts regarding relocation. I have been observing a trend of many companies offering remote roles while some companies are still asking employees to relocate. While there are pros and cons to both approaches, I just wanted to outline some of the struggles for a complete relocation from an employee point of view-1. Finding movers-  If the company provides relocation assistance great! , else you will need to get different quotes and start packing your stuff.  You will need to schedule movers and plan your travel accordingly.2. Finding a new place to live - Again, even with relo assistance it's hard to quickly find a new apartment or home which matches your criteria of no of bedrooms, parking spaces, yard etc  and it's more challenging if you are moving to a more expensive place. This is especially challenging if employer does not offer temporary housing. Plus additional hassle of selling or renting your current home as applicable. 3. Car shipping- Apart from the move you will need to find a good company to ship your cars. Some people employ a strategy to sell cars and buy new ones to prevent this.4. Social - You can always find new coworkers but it's hard to start making social connections from scratch. This becomes increasingly difficult as you get older. Social life may include work friends, yoga friends,  friends you take a walk with, friends you have coffee with, neighbours etc. Having this community around is extremely crucial for your mental health and overall well being. Building this back takes a lot of time. 5. Healthcare- Sometimes it may take months to find a good primary care physician in your insurance network, this also includes letting go of your favourite doctor or dentist and go through a gruelling find in another city or location. This is especially hard for people with health issues. 6. Kids or pets- Finding a good daycare or boarding for your pet, finding playdates for your kids, schooling change for kids, friends also would change for kids. This is a huge social challenge for the little ones. 7. Weather- When moving to a colder or hotter place, it takes time to acclimate to the weather.8.Misc- From redirecting mail to getting a new driver's license for the state, there are some additional misc items which need to be taken care of when moving. 9. Finding another/remote job for your spouse/ family member. From my perspective, this is a very long gruelling process and takes months if not years for someone to shift base completely. Is it really worth asking someone move and change their entire life? Wouldn't it be beneficial to the company if the employee instead works from their home and is productive immediately?What do you think? Should employers move to-1. Completely remote or 2. Keep it on site for jobs completely doable on a laptop. Do let me know in the comments! Also feel free to add if I've missed any points above. Thank you! 🙂"
110,Tell me you’re an engineer without telling me you’re an engineer...#NationalEngineersWeek #EWeek2023 #EngineersWeek
111,"Experience matters. There's a premium attached to it. Investors look for it in a founder more than anything else.I started my Apsara Ice Creams LLP journey in 2014, and Go Zero journey in 2022.- Took us 3 years to reach a monthly run rate of 50 lacs at Apsara. We are doing that in our 8th month at Go Zero.- Took us 4 years to reach a monthly run rate of 1 crore at Apsara. We are projecting that in our 9th month at Go Zero.No amount of degrees / MBA can beat the learning of years spent in an industry.#ExperienceMatters"
112,"One of the area which I always wanted to work but couldn't spend enough time is - providing quality free resources for learning from SupervisedLearning.comThis year, I wanted to work on it. Here is the first self paced course on ""Beginners Course on Numpy"" which is free of cost.Here is the link to enroll - https://lnkd.in/g-XZRVdY I am planning to come up with one course for free every month. All self paced with short and clear explanation. Will take up more advanced topics once I will cover fundamentals."
113,"KLA is pleased to be an event sponsor and presenter for the upcoming ISES ( International Semiconductor Executive Summits ) US event. KLA's Oreste Donzella is presenting on Tuesday, March 7. Visit https://lnkd.in/gN3p8PiY for all the event details!"
114,"Vision isn’t always about seeing what exists, but what should. As we celebrate Jamsetji Nusserwanji Tata's 184th birth anniversary, we look back on just how much he changed the world around him by envisioning what could be. #LegendLivesOn #ThisIsTata"
115,Join us for a special event on March 16th with Satya Nadella and Jared Spataro to learn how AI will power a whole new way of working for every person and organization.
116,"How amazing - and what a privilege - to celebrate and remember the long and unfinished journey to LGBTQIA+ equality with my beautiful colleagues and 250,000+ proud and full-of-love humans at Sydney Mardi Gras! 🎉Thank you 78ers who paved the way (https://lnkd.in/ghBCSx98)Thank you, Google and all the Googlers who organised, marched and showed up to watch, for standing beside your LGBTQIA+ colleagues and the LGBTQIA+ Australian community as peers and allies in such a visible way (https://lnkd.in/d7KvGWUh).Thank you, Sydney, for hosting the first southern hemisphere WorldPride during Mardi Gras with such beauty and skill. Saturday night is a memory I’ll never forget.  🎉#sydneymardigras #belonging #worldpride"
117,"A few weeks ago, I came across a movement created by Dove and LinkedIn support of the CROWN Act to reinforce that #BlackHairIsProfessional. For many years, I too felt that wearing my hair straight was more professional and often hid my curls when it came to those really important meetings. Dove co-founded the CROWN Coalition to advance the CROWN Act in an effort to help end hair discrimination in the workplace. I love this movement and how it is shedding light and educating workplaces on topics hardly ever spoken of when I grew up.  #PassTheCROWN #BlackHairIsProfessional."
118,New Adobe tower in Bangalore where we believe creating the future. Best Adobe Campus so far.#adobe #adobeforall #adobelife #letsadobetogether #newbuilding #bestemployer #bestculture #goodpeople #milestoneachieved
119,For more on AI visit: http://bit.ly/3y7tB0Z #artificialintelligence
120,"Remote jobs have become a buzzword these days. After all, you've got the flexibility to work from anywhere in the world and you can earn more too! 💰  Trying a shot at remote jobs is definitely worth it. But it may be a bit difficult to find such jobs. So, I have collected a few websites which primarily post about remote jobs. You can find your match, apply, interview, and get your dream remote job.Following are the remote jobs' websites:✅ Pangian - https://pangian.com✅ WeWorkRemotely - https://lnkd.in/gU4Ux_xW✅ ARC - https://arc.dev✅ RemoteLeaf - https://remoteleaf.com/✅ ZipRecuriter -https://lnkd.in/dYpCQU8P✅ Indeed - https://in.indeed.com/m/✅ Remotive - https://remotive.com✅ JustRemote - https://justremote.co/✅ AngelList - https://angel.co/✅ Jobspresso - https://jobspresso.co/✅ DailyRemote - https://dailyremote.com/✅ Working Nomads - https://lnkd.in/geSbdqVGPS: Go right now, and apply! 💫 Have reached the connection limit of 30k. Feel free to follow!"
121,🧑‍🎓🧑‍🎓💥 Attention everone ->Get LinkedIn premium free for 6 months on your Student ID......Use this link-- https://lnkd.in/guxNr4uzFollow this link for such content --*https://lnkd.in/gtFsxq-h #linkedin #content #linkedinpremium #content #post #linkedinposts
122,Excited to announce that I've earned the Top Rated Plus badge on Upwork and completed over $50K in projects!🚀
123,How to automate your focused networking with #chatgpt
124,"I was lucky enough to meet Bjarne Stroustrup, the creator of C++, in a tech talk held in Google London office. I was inspired by his passion and dedication to the language, and I am excited to see what the future holds for C++. #google #tech #cpp"
125,"Looking to streamline your Natural Language to SQL conversion process? 🤔💻Our latest blog on FutureSmart AI provides an in-depth guide on fine-tuning GPT-3 for your custom use case, with step-by-step instructions and code snippets. https://lnkd.in/dCXVnKKc#GPT3 #NL2SQL #llms #ai2sql"
126,"Things which have nothing related to the tier of your college :- How good are you in competitive programming.- How much have you practiced on leetcode.- How much have you contributed to open source.- How amazing your projects are.- How many internships (even small startups/local companies) have you done.Work from your end, you won't even need your college :)#competitiveprogramming #college #internship #work #linkedin #connections"
127,"The fashion show competition at Epoque@Prastuti 2023 was a sight to behold! From stunning designs to breathtaking performances, it was a true showcase of creativity and talent. Check out some of the highlights from the event! 👗👠 KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #Epoque_at_Prastuti2023 #CulturalFest2023 #CulturalFest #EpoqueAtPrastuti2023 #Prastuti2023#Epoque2023 #FashionShowCompetition #TalentShowcase #Glimpses #fashion #creativity"
128,I’m happy to share that I’ve earned a certificate of Amazon Web Services Cloud Practitioner from Amazon Web Services (AWS) Thanks Stéphane Maarek !!
129,This is Golden! 🤣😂🤣😂🤣
130,Friday is a great day to prepare for that next job.👉 update your resume👉 clean up your LinkedIn👉 tap into your networkIf your current employer doesn’t value you—someone else will!#greatresignation #careers #wfh #futureofwork #newcompany
131,The Taj Mahal cost 4.5 cr to build between 1631-1653 ( equivalent to 13 lakh crore today)If Shah Jahan had just gifted a dabba of Shahi chocolates to mumtaz and invested in mughaltual funds considering a 12% annual growth rate and deducting Shahi taxes and wars he'd probably still be dead today along with her.Live ur life while u still can. Shah Jahan probably got every motivational speaker and finfluencer in Delhi  executed before building the Taj Mahal . Best u can do is shut them out.
132,"For #HeartMonth, our Futurists explored how a #digitaltwin of the ❤️ can potentially save lives—both human and animal. From athletic performance to predictive medicine, here’s how this innovative technology can help keep all our hearts healthy."
133,"Check out the highlights from the KIET Alumni Sports Meet 2023 jointly organised by KIET-Alumni Engagement Cell (AEC) and KIET Alumni Association (KAA). Held on February 25th, 2023 at KIET Group of Institutions, the event witnessed some exciting matches. Congratulations to 'Team and Beer' for winning the cricket match and to Mr. Rohit Tyagi, Mr. Ayush Singh, Mr. Jatin Kumar and Ms. Anchal Kushwaha for winning the 100-meter race. Also, a big shoutout to Mr. Shashank, Sahil, Aakash, Akshat, Abhinav, and Anuj for winning the volleyball match. KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #KIETAlumni #AlumniSportsMeet #AlumniSportsMeet2023 #Winner #FunTimes #Sports #Fun #Entertainment #Interaction #Cricket #Cricketer #ProudAlumni #Volleyball #Race #Athlete #event #engagement"
134,#Teamlead #hiring #ArtificialIntelligence
135,Are you attending Customer Contact Week ANZ? Connect with our experts to discuss your digital transformation goals and tips for meeting consumers' ever-changing expectations. #CCWEEKAU #UnifiedCXM
136,"Today, we announced a breakthrough in quantum computing. In simple terms, we’ve achieved another step in our effort to build a large scale quantum computer. In more technical terms, our Quantum AI researchers have experimentally demonstrated that it’s possible to reduce errors by increasing the number of qubits. Someday, we believe quantum computers will be used to find solutions to some of the world’s most complex problems — from identifying molecules for new medicines to designing more efficient sustainable technologies. In the meantime, we’ll continue to responsibly research and develop this emerging technology. Learn more about the details of this breakthrough → https://goo.gle/3lXaljV"
137,I’m happy to share that I’m starting a new position as Senior Software Engineer at Calrom! #softwareengineer
138,Top 5 QA Tools to Look Out For in 2023 - testRigor AI-Based Automated Testing https://hubs.la/Q01D2lPg0#testing #automationtesting #qa
139,What does #EmbraceEquity mean to the #women of #TCSNA?Follow along this #WomensHistoryMonth as we share some of their stories and perspectives—kicking off on #IWD2023 with a special story about family and the power of belief. Stay tuned! #buildingonbelief Tata Consultancy Services
140,"On 15th and 16th February, the Sony Research India family came together at the Oberoi Hotel, Mumbai to celebrate a year of achievements. We started off with a Discovery Day session which was a testament to the hard work and dedication of the entire team. We kickstarted Day 2 with high energy games and ended with a Rewards and Recognition ceremony to thank all the members for their outstanding contributions. Thank you to each and every one for making this event a success. Here's to creating more memories and achieving great things together!#SonyResearchIndia #sony"
141,Web Testing: A Complete QA Overview - testRigor AI-Based Automated Testing Tool https://hubs.ly/Q01DzG3_0#testing #automatedtesting #webtesting
142,💻 Want to do 2 Month Work from Home Internship?⏳ Have you got what it takes to find reliable information and to brainstorm?📍 Ozibook is hiring Research Analysts. 📄 As a Research Analyst intern you will be responsible for:👉🏻Heavy duty brainstorming.👉🏻Helping business analyst team in finding information.👉🏻Creation of playbooks.👉🏻Critical thinking. Refer to the below attached document to learn more about the internship and the responsibilities you will be undertaking: https://lnkd.in/dbhdBSt6 💡If you want to build a better future by bringing about a change in education then do apply. 🎊 Perks:✅ Stipend: Rs. 1000 per month.✅ Internship Completion Certificate.✅ Letter of Recommendation (Performance based). 📩 Comment your mail ID and our team will reach out to you.#internship #hiringinterns #researchanalystinternship #brainstorming #startuphiring #startup #campushiring #placementcells #education #researchanalystinterns #hiringTanvi Mittal Sannidhi RaoAditi MaheshwariSmita ChauhanNAMAN SHARMAAnuroop KothamasuJay Enumula
143,🏎️ New Car 🏁 New Season 🫶 New ways to engage with the fans Who’s ready for the new Red Bull Racing & Red Bull Technology season?  https://lnkd.in/ewNB4-Zi
144,New to #OCI? Looking to kickstart your cloud skills? Check out our collection of free courses and certifications to get started. 👩‍💻 https://lnkd.in/es2pswgj
145,"Time to start your ""Good Vibes"" folder 🗂️ (s/o Adam Karpiak)"
146,"28 million.Did you know, according to Cambashi, that's the number of engineers in the world who work on infrastructure? These are the men and women who are civil, structural, and geotechnical #engineers who work every day to improve our quality of life.Today is World Engineering Day! On this international day of recognition, we celebrate the contributions of the world’s engineers working to create a better, sustainable world. THANK YOU! 👏To the 1,500+ engineers at Bentley, the 💡 brilliant minds behind the solutions empowering our users to create more sustainable and resilient infrastructure to better our world...THANK YOU!!! 👏#WorldEngineeringDay #WhatEngineersDo #CreatingTheFuture"
147,"Today marks Employee Appreciation Day, but we're grateful 👏every day👏 for the Sprinklrites around the globe who passionately, genuinely care for our customers, partners, and each other. The best is yet to come!#EmployeeAppreciationDay #SprinklrLife #UnifiedCXM"
148,"This International Mother Language Day, #VZIndia celebrated linguistic diversity in the workplace! From Tamil and Telugu to Hindi and Bengali – listen in as V Teamers share their love ❤️ for our welcoming culture. Does this speak 🗣️ to you? Join us. https://vz.to/3EAIEEe #GreatToFantastic"
149,"Learn how companies are combining Wipro’s platform management and support services with AT&T networking capabilities to enhance operations, drive growth, and increase revenue. https://bit.ly/3xXLZZY#WiproPartner #AT&T #IoT"
150,New Adobe tower in Bangalore#adobe #adobelife #letsadobetogether
151,"5 months to go for internships and placements, 5 ways to make the most of Leetcode:1. Study plans: Definitely the most underrated feature on Leetcode. Look for the DP, Interview, and DS study plans on Leetcode’s problemset page to get better at various important concepts everyday!2. Daily Challenge: Simple. Make a pact to solve the Daily challenge till you get your desired offer. This will help you revise and stay consistent. 3. Weekly and Biweekly contests: Again, same pact, never miss a contest until you get an offer. Upsolve and target the first 3 questions with high speed and accuracy.4. Discuss section: Make this your best friend. Read the top voted posts, understand different approaches, and even post your own solutions!5. Featured lists: The “Top 100 liked” and “Top Interview” questions lists can be your bestfriends if you want the best results within limited time!Bonus: The SQL questions on Leetcode are a one of the best practice sets out there!#interviewpreparation #placements #softwaredevelopment #interviewtips #internships"
152,"Get ready to witness a spectacular display of talent at Epoque@Prastuti2023, KIET Group of Institutions' Annual Inter-Institutional Cultural Fest featuring Group Dance, Group Singing, Skit, Nukkad Natak, Fashion Show, and Band War! Experience the magic of Darshan Raval's mesmerizing performance as he sets the night sky alight! Register on the link given below to be a part of the extravaganza! : https://lnkd.in/dzacSjY7KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #DarshanRaval #StarNight #StarPerformance #Epoque_at_Prastuti2023 #Epoque2023 #Prastuti2023 #CulturalFest2023 #CulturalFest #Festival #MediaPartners #NukkadNatak #EpoquePrastuti2023 #Dance #OpenMic #Singing #BandWar #culturalexploration #Kavyanjali #FashionShow #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR#TopEngineeringCollege"
153,"Sharing step-by-step plan & resources I followed to master my programming during college & crack Infosys SES, Morgan Stanley, Adobe interviews.  🔥 𝐒𝐚𝐯𝐞 & 𝐑𝐞𝐬𝐡𝐚𝐫𝐞 𝐭𝐡𝐢𝐬 𝐧𝐨𝐰 :) The golden key I followed was to keep a step-by-step plan in place to navigate, built my skills according, and stayed consistent. Here's my strategy:🚀 𝐒𝐭𝐞𝐩 𝟏: 𝐂𝐡𝐨𝐨𝐬𝐞 𝐚 𝐋𝐚𝐧𝐠𝐮𝐚𝐠𝐞There are many programming languages out there, so it can be challenging to know which one to start with. The best approach is to choose a language that aligns with your interests and goals. For example, if you want to develop websites, learning HTML, CSS, and JavaScript is a great place to start. If you're interested in machine learning, you may want to start with Python.🚀𝐒𝐭𝐞𝐩 𝟐: 𝐋𝐞𝐚𝐫𝐧 𝐭𝐡𝐞 𝐁𝐚𝐬𝐢𝐜𝐬Once you've chosen a language, it's time to learn the basics. You can find countless resources online, including tutorials, videos, and online courses. Here are five websites that offer free resources to help you learn the basics:- Codecademy- FreeCodeCamp- Udemy- Khan Academy- W3SchoolsThese websites offer a wide range of courses covering everything from programming fundamentals to more advanced topics.🚀 𝐒𝐭𝐞𝐩 𝟑: 𝐁𝐮𝐢𝐥𝐝 𝐏𝐫𝐨𝐣𝐞𝐜𝐭𝐬The best way to solidify your understanding of programming is to build projects. This not only helps you apply what you've learned but also gives you a chance to put your skills to the test. You can find project ideas online or come up with your own. Here are five websites that offer free project ideas:- GitHub- Project Euler- HackerRank- CodeWars- CodinGameThese websites offer a wide range of project ideas, from simple to complex, that you can use to practice your programming skills.🚀 𝐒𝐭𝐞𝐩 𝟒: 𝐍𝐞𝐭𝐰𝐨𝐫𝐤 𝐚𝐧𝐝 𝐂𝐨𝐥𝐥𝐚𝐛𝐨𝐫𝐚𝐭𝐞Networking and collaborating with other programmers can help you learn new skills, get feedback on your projects, and stay motivated. Here are five websites where you can network with other programmers:- Stack Overflow- GitHub- Reddit- Discord- HackerRankThese websites offer a platform where you can connect with other programmers, ask questions, and share ideas.🚀 𝐒𝐭𝐞𝐩 𝟓: 𝐒𝐭𝐚𝐲 𝐔𝐩 𝐭𝐨 𝐃𝐚𝐭𝐞Finally, programming is an ever-evolving field, so it's essential to stay up to date with the latest developments. You can do this by reading blogs, following industry experts on social media, attending webinars, and attending conferences. Here are five websites where you can stay up to date with the latest programming trends:- Hacker News- Reddit/r/programming- Medium- Dev.to- InfoQBy following this strategy and utilizing the free resources offered by the five websites mentioned above, you'll be on your way to mastering programming.Follow Priya Vajpeyi for more!LinkedIn LinkedIn for Creators LinkedIn News India #technology #innovation #marketing #creativity #jobseekers #careers"
