,Post
58,"I sometimes joke that the Google Dublin office has the potential to be one of the toughest offices to be fasting for Ramadan in- with snacks and delicious meals seemingly lurking around every corner.Our wonderful Food team has worked with the Muslims@Dublin Googler community to ensure every Muslim on campus feels included and doesn't miss out on their wonderful offerings, throughout the month of Ramadan.Two standout examples of this:i) Delicious packed meal boxes for those who are fasting to take home and enjoy for their iftar (breaking of the fast)ii) A community iftar dinner which was enjoyed last night, with a specially prepared menu and selection of treatsThese incredible initiatives stemmed out of our site Food team holding out a hand to the Muslim community, listening to the experiences & challenges many of us face during Ramadan, and taking action to help the whole community feel included, energized and valued.On behalf of the Muslims@Dublin community, a massive thank you to Alex Murphy, Stijn Kuppens and the entire Food team behind the scenes, for making this Ramadan one of the most special yet for so many Muslim Googlers in Dublin.And a personal thank you to the Muslims@ org on all levels, from the Dublin committee to global, for working hard to represent Muslim voices across the business."
59,"We spoke with CISOs of a big organization, and we found a common problem: It was, 'The lack of visibility to threats.' The solution❓ The modern MSSP. 🛡️ Signature-based detection capabilities and outdated correlation algorithms are no match to modern AI ML-based and behaviour-based SIEM and EDR platforms. Next-Gen UEBA platforms enable to surface of deeper threat detection and relevant alerts. This facility is only provided through modern MSSP. 👍 Such as Positka's MSSP service.  Learn more: https://lnkd.in/gfvBuaPi#cybersecurity #siem #soc #mssp #edr #cloudsecurity"
60,"The Power of Learning philosophy is built on the belief that the best way to absorb knowledge that lasts is for learners to take responsibility for their own learning. Learners should think, explore and discover for themselves. They should make mistakes and learn from them.The Learning Spiral is how we unlock The Power of Learning by recreating a spontaneous learning process:Motivation – we motivate by triggering curiosity and enthusiasm.Information – we provide only the necessary information.Process – we use dialogue, play and reflection to let learners process the new information.Aha! moment – when everyone reaches individual ‘aha’ moments of understanding and insight.Action – we help everyone turn their insights into actions for their daily work.We at Appinventiv repeat The Learning Spiral over and over again, because we don’t believe in shortcuts. Real learning–the kind that moves people and organisations–takes time and repetition.It’s a fast and compelling way to increase  knowledge, improve engagement and make change happen.They play. Everyone wins. The company truly earns.#motivation #learning #change #engagement #work #growth #mindset #futuristic"
61,"Firms that expedite their moves in the #DigitalAssets space will have first-mover advantage in what will be the next major battleground in the capital markets industry, writes Nageswar Cherukupalli. Read our new whitepaper to learn more: infy.com/3GCANqL #InfosysCapitalMarkets"
62,Hi LinkedIn fam!This is an exciting opportunity to students who are looking for an internship ! I personally know Pradip Nichite and can vouch that this will be an incredible opportunity to anyone looking to start their journey in field of Data science ! #internship #datascience #opportunity #linkedinfam
63,I’m fortunate to share that I’m starting a new position as Associate Technical Recruiter at ALOIS Solutions! ✌
64,"Five university students in Japan were selected to experiment with a social robot for a month at TCS Pace Port™ Tokyo.The interns focused on design considerations for social robots, potential uses and challenges in psychosocial care, the development of nursing assistants, and designing social #robots that mirror human emotion to establish effective interactions.Their findings would be absorbed into TCS’ #robotics research team to enhance customer experience and interaction.Read more: https://on.tcs.com/40NSdbl Tata Consultancy Services – Asia Pacific Tata Consultancy Services - Research"
65,"Today is an exciting day for the Hewlett Packard Enterprise Storage business – and for me, personally.  First, for the business: We are introducing the industry’s most comprehensive solution to store, manage and protect data across hybrid cloud.  We are bringing something unique to the market – something none of our competitors can come close to – and redefining what storage and data management will look like for the future.  We have all been working toward this day for a long time and I am excited to let the world know what we’ve been up to as we deliver these new offerings for our customers. On the personal side: The innovation that we are delivering is some of the most exciting technology I’ve worked on in my career. But we would not be able to create or deliver any of this without the contributions of each and every one of my talented, driven colleagues.  I have had the privilege throughout my career of working with some fantastic technology professionals and the teamwork, collaboration and dedication I’ve seen from this team has been phenomenal.  To my team and my colleagues, I say a heartfelt thank you. And to our many customers and partners around the world, I look forward to hearing what you think of our new offerings.  https://lnkd.in/gnKZ8hA6 #HPEStorage #innovation #team #data"
66,"Sometimes finding the right ingredients to becoming a supportive leader lies in what inspires you. Here’s to celebrating Haerim’s 2,645th day as a #WomanInTech. #IWD #WomensHistoryMonth"
67,"Realm of R&D at Sony!Sony’s R&D Centre is researching and developing a new Chip-Scale High-Peak-Power Laser that can potentially transform the situation of conventional high-peak-power lasers and bring a market revolution. To know more about Sony’s Chip-Scale High-Peak-Power Laser, click here - https://lnkd.in/d9pHUQWA #Sony #SonyResearchIndia #RnD #FutureIsHere Sony | R&D"
68,"I have lost my job due to downsizing. So please don't ignore this post even if you don't have anything for me to do. Please like , comment and share so that it reaches your connections and someone offers me a job."
69,Hello Everyone!!I'm glad to share with you all about my 15 days online internship on 'Robotics' by #kodacy which is associated with Scientific Platform and Cosmic Exploration (SPACE).Thank you #kodacy #space for giving me these opportunity.#internship #robotics
70,“We’re continuing to invest in our end-to-end digital capabilities and using artificial intelligence and machine learning to harness the power of our data.”
71,"Last week, my team (Meta Brands & Marketing Legal) had its first in-person onsite since the start of the pandemic, and I can't express how energized and grateful I am to have seen my colleagues from across the US, APAC & EMEA.It's been a challenging few years, with remote work becoming the norm and in-person interactions (the non-VC kind) few and far between. But getting the chance to see everyone face-to-face, catch up on work and life, and collaborate on projects in person was truly invigorating.There's just something special about being in the same physical space as your teammates.  I'm fascinated by the prospects of the metaverse and having tried it, it is quite compelling and getting better and better each day.  But in person time is absolutely special!  Not only did it make communication and collaboration more seamless, it also fostered a stronger sense of camaraderie and team spirit that's hard to replicate virtually.  We were able to have spontaneous meetings and breakout sessions, grabbed lunch and coffee together to build trust and bond, and engaged in team-building activities that simply couldn't be done over video.While I enjoyed all our team programming and learned tons throughout from my amazing teammates, my favorite part of our onsite was the visit to and volunteer work at the Ecumenical Hunger Program of East Palo Alto (www.ehpcares.org), where we helped stock shelves and distribute food to those in need in our surrounding community. 🙏🏼   A close second favorite moment was Lauren Tang and I celebrating our 10th work anniversaries, or as we call it, Metaversaries (and the team gifting me an amazing personalized Arsenal F.C. jersey 🏆 ).  Some fun pictures attached. Overall, I feel incredibly grateful to have had the opportunity to reunite with the team in person. It's reminded me of the importance of human connection and collaboration, and I'm looking forward to more in-person gatherings in the future.  Thank you, BAM team, for making this time so memorable and meaningful.  Til next time...With Lauren Tang, Scott Minden, Austin Phillips, Renee Keen, Paul H. Sousa, Mick Stewart, Rich Daniels, Esther Ono, Paige Stapleton, Meghana B., Alistair Taylor, Jennifer Okafor, James Farris, Jen Fryhling, Nakia Cunningham, Varty H., Michelle Manahan, Eileen Fong, Allison Raines.#meta #legal #thankyou #teambuilding #community #volunteer"
72,"NEW VIDEO IS OUT: HPE Alletra Storage MP - The future of storagehttps://lnkd.in/dF5c2n6MToday HPE made four HPE GreenLake announcements:- HPE GreenLake for Block Storage (updated)- HPE GreenLake for File Storage (new)- HPE GreenLake for Backup and Recovery (updated)- HPE GreenLake for Disaster Recovery (new)In addition, HPE announced a brand new storage platform called HPE Alletra Storage MP that...- scales from entry level to mission critical,- runs any storage protocol and- will be the de-facto storage platform for all future HPE GreenLake storage services!What does today's announcement mean and why is it big news? Watch the video from below and find out!Hewlett Packard Enterprise, HPE Data Storage, HPE GreenLake#datastorage #storage #datacenter #cloud #hybridcloud #privatecloud"
73,"We loved reading your responses to our post asking how #VerizonPerks have helped you in your career and beyond. 🥰 If you missed it, fear not! We rounded up some of our V Teamers’ answers here. Interested in learning how a Verizon career could benefit you? Visit: https://vz.to/414umVZ"
74,Our own Chris Havrilla is joined by industry experts from IBM and WorkForce Software to discuss the latest workplace trends and talent insights in our new episode of #OracleTrendingTopics: https://lnkd.in/gG9ap4rC
75,"About 1000+ applications, I am still in the market after being laid off for 2 months. I had 30+ interviews and made it to 4 final rounds.""Unfortunately, we decided to move forward with other candidates because we do not sponsor.""""Unfortunately, we are not going to move forward with your candidacy due to the unexpected hiring freeze.""""The team reviewed your background and your conversation in great detail, and unfortunately, your skill sets aren't quite aligned with our ongoing projects and what we expect from this role.""""This was a tough decision as the team thought very highly of you and felt you would be a good addition to the team. Due to the current needs of the team, they have decided to go with another candidate.""Although I did well in the interview, there is still no luck. Every morning, I don't want to wake up because I know I have one less day in the States (F-1 OPT visa). I study hard on doing coding exercises, system design, and do side projects for learning new tech stacks. As an early-career software engineer, there is no room for us to grow as the tech industry has been really competitive. Companies are looking for people who have hands-on skills, no matter how much experience you have.I have lost all my entertainment. I cut off dinner with my friends; I don't meet with people. I don't have time to hit the gym. The only thing I did and made me comfortable is to sit in front of my desk and keep grinding.Job searching is exhausting, and so is being laid off, but they can't destroy me. I will keep applying for jobs, doing coding exercises, studying hard until I remove my green banner.I am a software engineer with 3 years of experience. If you are hiring people who are not trying to make a living in the States but surviving, I am the right person.#techlayoffs #jobhunting #softwareengineer"
76,"We are excited to share that Wipro has been honoured with the 2023 Innovation Award from Philips, a recognition of our commitment to innovation and excellence. We extend our sincere thanks to all our stakeholders for their support and leadership commitment to this journey at Philips. As we look towards the future, we are thrilled about the greater opportunities to fuel our collective growth ambition. At Wipro, we remain committed to scaling this partnership to greater heights and delivering innovative solutions that help transform businesses and improve lives."
77,"The most powerful quantum computer in Europe🇪🇺: potential for materials research, logistics and defenceA number of corporate influencers and thought leaders, including Yannick Fasters  and myself, had the opportunity to take a look at the highly complex system at the IBM Influencer Forum this week.The #IBMQuantum System One was ceremonially put into operation in 2021 in the presence of the then German Chancellor and Doctor of Physics Angela Merkel. Together with IBM, the Fraunhofer-Gesellschaft operates the quantum computer in Ehningen near Stuttgart. The special feature: All processed project and user data remain in Germany at all times and are subject to German data protection regulations. 👉😉 #dataprotection Today, the system is used by a large number of customers who want to explore the potential of this revolutionary technology for industrial use. Quantum physics will make things possible at the latest with the availability of a computer with a sufficient number of Qbits that would take an eternity with traditional computers or cannot even be calculated at all.The ultra-fast supercomputers, in combination with artificial intelligence, could create performance boosts for more value creation in the medium term. Dr. Jan-Rainer Lahmann mentioned medical technology, logistics and materials research as obvious examples of applications. For example, Volkswagen wants to use quantum computers on the one hand to develop new materials for car manufacturing, and on the other hand to simulate new urban traffic concepts for metropolises with millions of inhabitants.Experts also see the possibility of using quantum computers to stabilise critical security infrastructures, develop better algorithms for industrial production and better model battery and fuel cells.The computer in Ehningen contains 127 Qbits. If you were to order a quantum computer from IBM today, there would even be 433 quantum bits available in the Osprey system. Towards the end of the year, researchers expect a system with over 1000 quantum bits. That is a big leap forward in development. In 2018, these computers were still at 72 Qbits.Here are 10 quantum computing applications you should know about:👉Artificial intelligence👉Better batteries👉Cleaner fertilization👉Cybersecurity👉Drug development👉Electronic materials discovery👉Financial modelling👉Solar capture👉Traffic optimization👉Weather forecasting👉Climate changeThanks a lot to Petra Bernhardt, Daniel Unkelhäußer and the whole IBM team for this exciting journey into a technology that can shape the European ecosystem. #technology"
78,"Did you know that companies that have mastered observability released 60% more products or revenue streams from AppDev teams than observability beginners?😲 Systems require powerful observability capabilities like real-time monitoring 💻 to quickly identify and troubleshoot issues within them.  Systems also require robust security features for data protection and access control. 🔐 Do you believe your systems are qualified enough to tick the above criteria or are you still having doubts? 🤔 Join us on Thu, 06 April 2023 for a webinar hosted by Samson Samuel, Director- Security Analytics, and Meeran Mohaideen, Solution Architect at Positka. 🚀And get a better understanding of your security and observability data from our experts through the session!Register now at https://lnkd.in/gKGKEbDT#siem #soar #cribl #observability #webinar #cybersecurity #cloudsecurity #mssp"
79,To all of our customers: testRigor did not use SVB. We are unaffected by the issue.
80,Super proud to be part of #teamAmex
81,📢 Attention all aspiring UI/UX Designers!💻 2-Month Internship Opportunity📍 Join Ozibook as a UI/UX Designer now! Here are some of the exciting responsibilities you'll be taking on:🚀 Assist in the #creation of a prototype (V1 on Figma) of our education #website 🚀 Work on the documentation that will lead to the successful implementation of the platform. 🥁 PERKS🎉 Monthly stipend of Rs. 1000🎉 Internship Completion Certificate🎉 Letter of Recommendation based on your performance                                                                  	📄 See attached document for details on the internship and the exciting tasks you'll handle. https://lnkd.in/dbhdBSt6💬 Drop your email in the comments and we will reach out to you soon!#RemoteInternship #VirtualInternship #UIUX #WebDesign #Figma #StartUpInternship #BangaloreInternship #InternshipOpportunities #InternshipProgram #InternshipSearch #HTML #CSS #JavaScript #WordPress #WebProgramming #WebDesigning #WebsiteDesign #WebApplicationsJay Enumula Anuroop Kothamasu  Rithesh Darish
82,Even the best contact centers have a First Call Resolution (FCR) rate of only 75%. This means the concerns of 1 out of every 4 customers may not be resolved on initial contact 😓 We put together 4 quick tips that can help you boost your FCR rate and make your customers happier: http://ms.spr.ly/6047gGeW5#contactcenter #customerservice
83,"From giving support to her team to getting it in return from a community of women at Meta, here’s to celebrating Kristy’s 5,575th day as a #WomanInTech. #InternationalWomensDay #IWD #PowerOfUs"
84,"I'm back from BDI's 2023 Young Leaders program in Berlin, where we came together with leaders from different industries and government sectors to discuss a fundamental question: What role can businesses and business leaders play in solving global challenges?The answers to today's social and economic challenges are not trivial. However, I look to the future with great optimism, which has been strengthened even further after spending a week with this diverse and inspiring group of leaders. We are united behind the idea that we not only have the opportunity, but also the responsibility to make a positive difference by working together across industries, and leading with purpose and values. I also firmly believe in the potential of technology to solve big social challenges, improve lives, and create a more equitable world. This is why I am proud of the work we do with our customers and partners to further strengthen Germany's potential. 🇩🇪 I look forward to staying connected with the amazing people I met during the program and continue to deepen our partnerships. My genuine thanks also to BDI - Bundesverband der Deutschen Industrie e.V. for providing the platform for this valuable exchange. As I'm still reflecting on learnings and takeaways, I would love to hear your thoughts too. How would you define the term #ImpactEconomy and how do you think businesses can leverage its principles to create a more sustainable and equitable future for everyone?#bdi #bdiyoungleaders #berlin #Germany #growth #prosperity #sustainability #innovation  #lifeatgoogle Google #business #leadership BDI Young Leaders: Maike Becker-Krüger, Julia Bock, CFA, Katharina Böttcher, Petra Bührer (Buehrer), Dr. Tim Ellringmann, Tim Enger, Dermot Fleischmann, Faten Gaber, Martin Hauser, Simone Heeg, Tibor Homolya, Patrick Jäger, Marina Jeworutzki, Christine Kantelhardt, Harald R. Kirchschlager, Johannes Kobbeloer, Simone Kopping, Sophie Matkovits, Laura Medina Escolano, Claudia Meister, Denis Merkle, Dr. Veronika Preuß, Mouna Romani, Sonja Roßner, Claudia Rudolph-Belger, Christian Schrade, Magdalena Sichler, née Rutz, Jan Szybalski, Nico Wilhelm and organizers + hosts: Sandra Calvaruso, Dr. Hajo Schumacher, Fritz Strempel"
85,"“As Dove works to change legislation, LinkedIn is working to change workplace behavior by training and educating one million hiring managers and human resources professionals on inclusive and equitable business practices”This is great news!! Any steps forward for diversity benefit us all! #business #linkedin #training #diversityandinclusion #diversity #inclusionmatters #crownact #blackhair #blackbeauty #salonlife #salonbusiness #blackbeauty #blackwomen #blackwomeninbusiness #hairdresser #hairstylists #hairsalon #cosmetology"
86,Time to celebrate. 🎉 HPE has been recognized as one of Fortune Magazine’s 100 #BestWorkplaces. Thank you to our amazing team members who help grow a culture of inclusion and innovation that puts people first every day. 💚 https://hpe.to/6044OHrgj#GPTWcertified #WeAreHPE
87,I’m happy to share that I’m starting a new position as Software Engineer 2 at Atlassian!
88,"""This announcement is shaping the storage industry."" 👏 ""Far ahead of the competition."" 👏 ""Game changer."" 👏 The press has spoken. Watch the replay of the #HPEGreenLake for #HPEStorage announcement to see why this is making headlines. ➡️ https://hpe.to/6042OHfgo"
89,"From virtual storefronts to augmented experiences, AR and VR are revolutionizing the way we see, interact, and shape our world 🚀Both technologies are predicted to bring a momentous change in the business world. Learn more about these technologies and how they plan to change the world: https://bit.ly/40LRasD#technology #change #arvr #appinventiv"
90,DevOps Testing Tools: Tools that Every QA Engineer Should Know About https://hubs.la/Q01K4dX40#testing #devops #testautomation
91,Some-bunny wants those celebrating Easter to have a fantastic holiday with the ones they love … It’s us. We’re some-bunny. 🐰
92,"#Metaverses might just be what the doctor ordered!#VirtualReality checkups, #AugmentedReality surgeries, and #MixedReality therapy to enable positive and encouraging #healthcare results in the real world!Abhay Shankar Prasad Anup Chakraborty Tata Consultancy Services - Research Tata Consultancy Services - North America Tata Consultancy Services – UK & Europe Tata Consultancy Services LATAM Tata Consultancy Services – Asia Pacific  Link in the comments section."
93,"2016-2017: We recognized the potential of collaborations to achieve positive change and improve the status of the society. To mark our 20th year, a 20-year fellowship program with Tata Memorial Center was initiated. We also tied up with the Kailash Satyarthi Foundation to create 20 child-friendly villages.Infosys | #InfosysFoundation | #25YearsOfImpact"
94,Which aspect of the Equifax data breach concerned you the most?A) The fact that sensitive personal information of over 140 million individuals was compromisedB) The length of time it took Equifax to discover and disclose the breachC) The vulnerabilities in Equifax's security systems that allowed the breach to occurD) The lack of accountability and consequences for those responsible for the breach#cybersecurity #cloudsecurity #databreach #malware #siem
95,"I'm thrilled to announce that three of my papers have been accepted to CVPR 2023. I'm sharing the titles and summaries of each paper below:1. ""Hyperbolic Contrastive Learning for Visual Representations beyond Objects"" by Shlok Mishra*, Songwei Ge*, Simon Kornblith, Chun-Liang Li, David Jacobs. Our proposed Hyperbolic loss helps to better encode scenes and objects. Check out the code at https://lnkd.in/gts-548P. Paper : https://lnkd.in/gMGUW2bP2. ""MAGE: MAsked Generative Encoder to Unify Representation Learning and Image Synthesis"" by Tianhong Li, Huiwen Chang, Shlok Mishra, Han Zhang, Dina Katabi, Dilip Krishnan. MAGE is a unified framework for generative modelling and representation learning, achieving state-of-the-art results in both class-unconditional image generation and linear probing on ImageNet-1K. You can find the code at https://lnkd.in/gDJqHric.Paper: https://lnkd.in/gPyrU-9S3. ""HaLP: Hallucinating Latent Positives for Skeleton-based Self-Supervised Learning of Actions"" by Anshul Shah, Aniket Roy, Ketul Shah, Shlok Kumar Mishra, David Jacobs, Anoop Cherian, Rama Chellappa. Our method generates positive samples in the latent space for self-supervised representation learning of skeleton sequences. Stay tuned for the code and paper!I want to thank all my amazing collaborators and mentors who supported and helped me throughout. A special thanks to my advisor David Jacobs, Dilip Krishnan, Anshul Shah, Abhishek Sharma [Hiring], Kuntal Sengupta, Ankan Bansal, Christian Häne, and many others.On a related note, I'm currently seeking job opportunities in generative modelling and self-supervised learning. If you know of any relevant openings, please reach out to me. #generativeai #cvpr #computervision"
96,"Looking for solutions that will take your business into the future? ⚡️ From AI to data security to supercomputing, find the latest trends, cutting-edge innovation, and expert insights at #HPEDiscover 2023. 🎟️  Register today: https://hpe.to/6040Oye4o"
97,"In hybrid workplaces, leaders must ensure employee feel supported in both office and remote environments. Read how new technologies can help CHROs achieve greater personalization and ease of use across job hiring platforms, employee self-service, career-building tools, and much more. https://bit.ly/3zg49XA#EmployeeExperience #CHRO #DigitalTransformation"
98,"Healthy actions, stacked over time, become healthy habits. At Wipro, we celebrate #HealthForAll round the year with our wellness policies and programs. #WorldHealthDay"
99,Quality Assurance vs. Quality Control: Know The Difference https://hubs.la/Q01KDjJs0#qa #testing #automation
100,"Chief Data Scientist Juan M. Lavista Ferres and his team at Microsoft's AI for Good Lab are using AI to help organizations #ImagineMore ways to address some of the world’s greatest challenges.​​From making technology more accessible to helping track climate change, Juan works to convert human knowledge and data into code that can be read by AI and machine learning. ​Juan was born and raised in Uruguay, in South America, so English isn’t his native language. “AI models assist me in finding the appropriate terms to use,” he says.​It’s with this data that AI is empowering people to find innovative solutions for a more equitable and sustainable future.​​"
101,"Earlier this year, the Amazon Devices team hosted nearly 350 Amazon AHEAD scholars at our corporate offices. The event provided students with hands-on STEM learning opportunities and an “Ask Me Anything,” where employees shared advice and insights from their career path. The students also got to enjoy Alexa product demonstrations and technological lectures delivered by Amazon Devices engineers!Learn more about the AHEAD (Amazon Hardware, Embedded, Artificial Intelligence, Design) program and its mission to expose and engage historically excluded K-12 students to STEM for early talent development. https://amzn.to/40QUlzs"
102,"Design helps us create the present and imagine the future. That’s the belief of Scott Belsky, Adobe’s Chief Strategy Officer and EVP, Design & Emerging Products, who is looking to designers to help chart the company’s next path.https://bit.ly/3ZAYMx6"
103,"Augmented reality (AR) is the integration of digital information with the user's environment in real time. Unlike virtual reality (VR), which creates a totally artificial environment, AR users experience a real-world environment with generated perceptual information overlaid on top of it.Augmented reality is used to either visually change natural environments in some way or to provide additional information to users. The primary benefit of AR is that it manages to blend digital and three-dimensional (3D) components with an individual's perception of the real world. AR has a variety of uses, from helping in decision-making to entertainment.AR delivers visual elements, sound and other sensory information to the user through a device like a smartphone or glasses. This information is overlaid onto the device to create an interwoven experience where digital information alters the user's perception of the real world. The overlaid information can be added to an environment or mask part of the natural environment. #augmentedreality"
104,"Have you ever had that exhilarating feeling of discovering something new and wanting to share it with everyone around you? I know I have, and that's what prompted me to start my own YouTube channel.My love for learning and exploring different perspectives has always been fueled by books, but I wanted to take it to the next level and share my findings with a wider audience.Starting a YouTube channel was a daunting prospect at first, but I quickly realized that the only thing holding me back was my own fear of being judged. And you know what? It wasn't that bad. In fact, it's been an amazing journey so far, and I'm learning new things every day.What I love most about creating content is the joy it brings me and the opportunity to inspire others to learn and grow as well. It's a zero-sum game where we all win, and that's what makes it so fulfilling.So, if you're someone who's curious about the world around you and loves to learn new things, I invite you to check out my YouTube channel. Who knows, you might just discover something new and exciting that you can share with others!If you have made it this far, why not hit the subscribe icon?CHANNEL LINK: https://lnkd.in/g886ce6aCHANNEL NAME: Explore with Epaphra#opportunity #learning #love #content #share"
105,"Hey #CX folks, get ready to be blown away by what we have in store for you! 🎉 Any guesses on what our big announcement is all about? 🤔 Find as many words as you can to uncover hints about the exciting news! 🔎 Stay tuned!#ccaas #customerservice #customerexperience"
106,It’s now essential for companies in every industry to embrace digital customer service if they haven’t already done so. Hear valuable tips from our Founder & CEO Ragy Thomas on The Agile Brand with Greg Kihlström 💡 #UnifiedCXM
107,"The holy month of Ramadan is a time of reflection, empathy, and generosity. And this year, Google is here to help you celebrate in new and exciting ways. Whether you're observing Ramadan with your family or just starting to learn about the season, here are four tools that can make your experience even more memorable:1️⃣ Colorful and joyful greetings - with just a simple search of ""Ramadan 2023,"" you can access all the information related to this month, including greeting cards online. 2️⃣ Inspiration for your shopping list - our Ramadan Shopping Guide is here to help you prepare for the month ahead. We've collected trending products helpful during Ramadan in the Middle East, North Africa, and Indonesia. 3️⃣ Visual shopping made easy - take a photo or screenshot of a delicious dessert or decoration that caught your eye, and use Google Lens to find exact or similar results to shop from or to explore for inspiration.4️⃣ Cooking inspiration at your fingertips - type the name of a dish and ""recipe"" into Search to discover a list of recipes to get inspiration and instructions on how to master each dish.And that's not all! Google is also excited to offer Ramadan-inspired features on Google Meets, created in collaboration with the Muslims at Google (a chapter of our Inter Belief Network ERG). This new addition will be available permanently, and we hope it adds to the joy of your Ramadan experience.We hope this Ramadan brings you and your loved ones joy — and that this year’s features from Google help you find the information you need to make the most of this special time of the year.Learn more about these cool features : https://lnkd.in/gA2QkSRpNavigating Ramadan 2023 : https://lnkd.in/gR-uj6Pn#Google #GoogleRamadan #innovation #DEI #leadership #technology"
108,"Wir freuen uns, mitteilen zu können, dass ab dem 1. Mai alle direkten Mitarbeiter:innen von Amazon Deutschland an allen Standorten das 49-Euro-Ticket kostenlos erhalten können. Diese Maßnahme erweitert nicht nur unser Paket an Extras für die Belegschaft, sondern unterstützt auch einen nachhaltigen öffentlichen Nahverkehr. Mehr dazu: #öffentlichernahverkehr #49euroticket #öpnv #futureofmobility #nahverkehr #nachhaltigkeit"
109,"Introducing Future Forward by The Climate Pledge. A six-part documentary series featuring people and businesses pioneering industry innovation on the front lines of climate change. 🌏 🎥 Each film profiles visionaries fighting for their dream of a better world, the complex hurdles to igniting corporate change on a global scale, and a contagious hope and inspiration for the future. 💚 You can stream it worldwide on TheClimatePledge.com and Prime Video & Amazon Studios as of today!https://lnkd.in/em8-Ggc"
110,Who knew Harry the Hawk had coding skills? 🏀 We partnered with the Atlanta Hawks to show local students how to program their own game starring the beloved basketball mascot using the Microsoft MakeCode Arcade’s block-based code editor. Nothing but net for these future programmers!
111,Had a blast today in soft skill session sharing some of the tasks with you.Mohd Sarim Mradul Goyal Muskan Sama Kushagra Singh assigned by Himanshu Saxena
112,Monday blues?Not with this little ball of fur by your side! Let's grab a coffee and tackle the week head-on. No excuses allowed!#mondaymotivation #mondayvibes #mondayblues
113,"Did you know generative #AI could raise annual global GDP by 7% in the next ten years? That’s according to a recent report from Goldman Sachs outlining the potential benefits of AI and the possible effect it will have on economic growth.The possibilities are truly exciting and could lead to unprecedented advances in our society. As the report notes, generative AI has the power to transform every industry and every business process in a way not seen since the emergence of the personal computer.At Microsoft, we're constantly exploring how we can harness the power of AI to drive #innovation and create a better future. And it’s inspiring to learn about the potential impact it can have on the #economy and beyond.Dig into the research below."
114,"Armoni Mitchell, Michigan-based driver for Amazon, noticed a 100-year-old woman fall after parking his van and rushed to help her.  Her family was relieved and grateful, calling him “an example for humanity.”Thanks for being you, Armoni! ❤️ https://lnkd.in/dgaaZquc"
115,Showcasing our dark mode!Download now : https://lnkd.in/dVUpnP7C.....#EdTech #LMS #LearningManagementSystem #OnlineLearning #VirtualLearning #eLearning #DistanceLearning #EducationTechnology #EducationInnovation #DigitalLearning #InteractiveLearning #ClassroomTechnology #learningtools #TeacherTools #EducationSoftware #eLearningSoftware #SaaS #EdTechSolutions #LearningSolutions #explorepage #explore #reelsinstagram #makeinindia🇮🇳
116,"""𝐇𝐞𝐲 𝐍𝐢𝐥𝐬, 𝐰𝐢𝐞𝐬𝐨 𝐯𝐞𝐫𝐛𝐫𝐢𝐧𝐠𝐬𝐭 𝐃𝐮 𝐞𝐢𝐠𝐞𝐧𝐭𝐥𝐢𝐜𝐡 𝐬𝐨 𝐯𝐢𝐞𝐥 𝐙𝐞𝐢𝐭 𝐚𝐮𝐟 𝐋𝐢𝐧𝐤𝐞𝐝𝐈𝐧?Ich müsste lügen, würde ich sagen, dass ich das noch nie gefragt wurde…Pro Woche bin ich sicherlich 5+ Stunden in dem sozialen Netzwerk unterwegs. Warum ich das mache? - Dafür gibt es viele Gründe!💡 Insights auf LinkedIn zu teilen und mit anderen Nutzer:innen zu diskutieren, macht unglaublich viel Spaß!💡 Gleichzeitig baue ich meine „#PersonalBrand” auf, die meine Sichtbarkeit im Kollegenkreis, im Kundenumfeld und im Ökosystem steigert und meine Marke mit meinen Werten, Fähigkeiten und meiner Meinung verbindet.💡 Davon profitiere nicht nur ich, sondern auch meine Arbeitgeberin, die gesteigerte #Visibilität bei potenziellen Kunden und höhere Attraktivität bei potenziellen Bewerber:innen erhält.❗️Wie wichtig aktive Mitarbeitende auf Netzwerken wie LinkedIn für Firmen sind, ist meiner Arbeitgeberin IBM klar. Mit Petra Bernhardt haben wir eine #SocialMedia Leaderin, die unsere #CorporateInfluencer mit Wissen, Blaupausen, Trainings und Beratung unterstützt.📚 All das, was es dazu in den Weiten unseres Intranets gibt, hat ein Team in den vergangenen Monaten als Starterpaket für angehende Content Creators zusammengetragen. Lothar Ritter, Stefan Schwerter, CFA, Deborah Hüller (she/her/hers) und das Team rund um Daniela Guday haben hier fantastische Arbeit geleistet und im Rahmen der Kampagne „Share To Grow“ viele Themen aufbereitet.🤝🏻 Einige aktive Social Networker:innen, darunter auch ich, durften am 27. März in Ehningen das erste #IBMInfluencerForum besuchen. Einen Tag lang von Profis wie Frank Panser und Katrin-Cécile Ziegler zu lernen und mit anderen aktiven LinkedIn Nutzern zu netzwerken, ist schon mal ein super Anreiz für (noch) Unentschlossene! Was sind eure Gedanken zu corporate Influencern? Ich freue mich auf den Austausch mit Euch!Ricarda Schumacher Isabelle Mayer Isabell S. Luisa Sofia Biedermann Marten Neelsen Michael Hirning #share to #grow #share2grow"
117,Simplify classroom management with Edvora!...#LMSplatform #elearning #onlinetraining #distancelearning #educationtechnology #virtuallearning #blendedlearning #edtech #remotelearning #learningmanagement #learningmanagementsystem #onlineeducation #digitallearning #classroomtechnology #educationsoftware #elearningplatform #teachonline #teachingtools #teacherresources #edutech
